683920,312,1,גן מרוה , ,"-7,600","-9,900","-6,900",,,,,,,,,,,,,,,,,,,,,,,,,,
,"312 סה""כ",,,,"-33,916,800","-31,395,500","-37,181,300",,,,,,,,,,,,,,,,,,0,,,,,,,,
200220,313,1,"שכ""ל תלמידי חוץ ",813200,"-711,200","-734,000","-700,000",,,,,,,,,,,,,,,,,,,,,,,,,,
200410,313,1,"שכ""ל תלמידי חוץ ",813200,"-105,700","-236,900","-7,600",,,,,,,,,,,,,,,,,,,,,,,,,,
200422,313,1,תוכנית חומש לבתי ספר , ,"-365,500","-320,500","-328,100",,,,,,,,,,,,,,,,,,,,,,,,,,
200440,313,1,"אגרת חנוך ביה""ס ",813200,"-322,400","-225,700","-375,400",,,,,,,,,,,,,,,,,,,,,,,,,,
200490,313,1,הכנסות ממכרז , ,0,0,"-7,900",,,,,,,,,,,,,,,,,,,,,,,,,,
200640,313,1,שכד+חשמל ,813200,"-76,100","-87,500","-73,200",,,,,,,,,,,,,,,,,,,,,,,,,,
200710,313,1,השתתפות מוסדות_עבור צהרונ, ,"-226,400","-88,300","-526,900",,,,,,,,,,,,,,,,,,,,,,,,,,
200920,313,1,מ.חינוך לבתי ספר ,813200,"-358,600","-540,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
200924,313,1,אגרת שיכפול יסודי , ,"-106,800",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
210220,313,1,בכור לוי , ,"-4,400","-5,700","-3,500",,,,,,,,,,,,,,,,,,,,,,,,,,
210920,313,1,בכור לוי , ,"-432,300","-432,000","-440,800",,,,,,,,,,,,,,,,,,,,,,,,,,
210922,313,1,בכור לוי , ,"-95,200","-111,500","-21,200",,,,,,,,,,,,,,,,,,,,,,,,,,
210923,313,1,הכנסות משרד חינוך , ,"-2,600",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
210924,313,1,בכור-שכפול , ,"-9,000","-12,000","-11,500",,,,,,,,,,,,,,,,,,,,,,,,,,
210926,313,1,בכור לוי , ,"-1,300","-1,400","-3,100",,,,,,,,,,,,,,,,,,,,,,,,,,
210927,313,1,בכור חומרים , ,"-21,600","-27,800","-28,900",,,,,,,,,,,,,,,,,,,,,,,,,,
